FECHA CARGA;HORA CARGA;FECHA TOMA;HORA TOMA;HABITACIÓN;UBICACIÓN;POSTURA;DUERME;ESCONDIDO;AUTOR;NOSOTROS
08/05/2023;0:56;20/10/2017;23:25:31;SALA;CAJA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;06/11/2017;23:18:26;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:56;06/11/2017;23:18:28;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;06/11/2017;23:18:33;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;11/11/2017;9:13:57;BAÑO;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;11/11/2017;9:14:05;BAÑO;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;11/11/2017;9:14:08;BAÑO;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;07/12/2017;23:20:02;SALA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;07/12/2017;23:20:04;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;15/12/2017;0:56:33;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;11:43:16;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;11:43:24;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;11:43:33;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;11:43:40;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;23/12/2017;22:23:18;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;22:24:35;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;22:24:44;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;22:24:52;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;22:24:56;SALA;SUELO;PARADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;22:25:14;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;23/12/2017;22:25:18;SALA;SUELO;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;25/12/2017;10:53:27;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;25/12/2017;17:13:33;SALA;SUELO;PARADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/12/2017;17:13:36;SALA;SUELO;PARADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/12/2017;17:13:38;SALA;SUELO;PARADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/12/2017;17:13:39;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/12/2017;17:13:43;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/12/2017;17:13:45;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;25/12/2017;17:13:46;SALA;SUELO;SENTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;04/01/2018;22:20:28;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;04/01/2018;22:20:32;SALA;SUELO;SENTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;21/01/2018;3:47:42;SALA;CAJA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;21/01/2018;3:47:43;SALA;CAJA;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;09/02/2018;8:17:10;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;13/02/2018;16:26:32;SALA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;17/02/2018;12:32:19;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;17/02/2018;12:32:31;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;17/02/2018;12:32:38;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;17/02/2018;12:32:59;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;20/03/2018;16:35:06;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;20/03/2018;16:38:24;PIEZA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;24/04/2018;17:03:33;SALA;SILLON;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;19/05/2018;0:12:22;SALA;SILLON;ACOSTADO;NO;SI;FLOR;NO 
08/05/2023;0:57;19/05/2018;0:13:36;SALA;SILLON;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;19/05/2018;0:34:41;SALA;SILLON;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;19/05/2018;23:57:07;SALA;SILLON;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;19/05/2018;23:57:10;SALA;SILLON;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;25/05/2018;8:27:20;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;25/05/2018;8:29:16;PIEZA;CAMA;ACOSTADO;SI;NO;FLOR;NO 
08/05/2023;0:57;27/05/2018;18:23:53;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;27/05/2018;18:24:36;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;27/05/2018;18:24:39;SALA;SUELO;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;02/06/2018;17:35:39;PIEZA;CAMA;SENTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;26/06/2018;21:48:56;SALA;CAJA;CAMINA;NO;NO;FLOR;NO 
08/05/2023;0:57;26/06/2018;21:49:40;SALA;SUELO;CAMINA;NO;NO;FLOR;NO 
08/05/2023;0:57;26/06/2018;21:51:29;SALA;SUELO;SENTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;26/06/2018;21:51:33;SALA;SUELO;CAMINA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;30/06/2018;13:38:35;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;30/06/2018;13:38:39;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;30/06/2018;13:38:46;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;04/07/2018;16:29:36;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;04/07/2018;16:29:41;SALA;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;04/07/2018;16:29:49;SALA;CAMA;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;04/07/2018;17:00:17;SALA;CAMA;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;04/07/2018;17:00:19;SALA;CAMA;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;04/07/2018;17:00:22;SALA;CAMA;ACOSTADO;NO;NO;FLOR;SI
08/05/2023;0:57;07/07/2018;22:55:48;BAÑO;SUELO;ACOSTADO;NO;NO;FLOR;NO 
08/05/2023;0:57;12/07/2018;22:44:02;SALA;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/07/2018;22:44:04;SALA;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/07/2018;22:44:07;SALA;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/07/2018;22:44:08;SALA;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/07/2018;22:44:10;SALA;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/07/2018;22:44:39;SALA;SUELO;TREPA;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;18/07/2018;16:40:18;PIEZA;CAMA;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;29/08/2018;14:23:28;SALA;SUELO;ACOSTADO;NO;NO;CLAUDIO;NO 
08/05/2023;0:57;12/09/2018;0:51:42;PIEZA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;12/09/2018;0:51:55;PIEZA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;12/09/2018;0:51:58;PIEZA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;12/09/2018;0:52:03;PIEZA;SUELO;ACOSTADO;NO;SI;CLAUDIO;NO 
08/05/2023;0:57;23/09/2018;3:04:11;SALA;SUELO;ACOSTADO;SI;NO;CLAUDIO;NO 
08/05/2023;0:57;01/10/2018;22:07:16;SALA;SILLON;ACOSTADO;NO;NO;CLAUDIO;NO 
